CondensedString,MPE_rank,MPE_score,MAP_I_rank,MAP_I_score,MAP_I_para_theta,MRE_rank,MRE_score,ET_rank_for_tree,ET_rank_for_score,ET_score,ET_leaf,ET_ALPHA,ET_BETA,CET_rank_for_tree,CET_rank_for_score,CET_score,CET_leaf,CET_ALPHA
"""1111""",11.0,0.000613434209181,NaN,NaN,0.1,37.0,25.5748337596,NaN,69.0,0.000613434209181,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1110""",8.5,0.00552090788263,NaN,NaN,0.1,33.5,25.6961036291,NaN,65.0,0.00552090788263,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1119""",NaN,NaN,NaN,NaN,0.1,32.0,25.7113465693,NaN,63.0,0.00613434209181,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1101""",10.0,0.00347612718536,NaN,NaN,0.1,36.0,25.6454293629,NaN,68.0,0.00347612718536,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1100""",6.5,0.0312851446682,NaN,NaN,0.1,30.0,26.3529287599,NaN,59.5,0.0312851446682,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1109""",NaN,NaN,NaN,NaN,0.1,27.5,26.4442326025,NaN,56.5,0.0347612718536,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1191""",NaN,NaN,NaN,NaN,0.1,35.0,25.6606097937,NaN,67.0,0.00408956139454,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1190""",NaN,NaN,NaN,NaN,0.1,25.5,26.4982485936,NaN,53.0,0.0368060525509,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1199""",NaN,NaN,NaN,NaN,0.1,21.5,26.6069715382,10.0,48.5,0.0408956139454,1,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1011""",8.5,0.00552090788263,NaN,NaN,0.1,33.5,25.6961036291,NaN,65.0,0.00552090788263,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1010""",4.0,0.0496881709437,NaN,NaN,0.1,20.0,26.843894567,NaN,45.5,0.0496881709437,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1019""",NaN,NaN,NaN,NaN,0.1,18.5,26.9949139703,NaN,43.0,0.0552090788263,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1001""",6.5,0.0312851446682,NaN,NaN,0.1,29.0,26.3529287599,NaN,59.5,0.0312851446682,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1000""",2.0,0.281566302014,NaN,NaN,0.1,12.0,35.1851430198,NaN,29.5,0.281566302014,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1009""",NaN,NaN,NaN,NaN,0.1,10.5,36.741556316,NaN,25.5,0.312851446682,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1091""",NaN,NaN,NaN,NaN,0.1,25.5,26.4982485936,NaN,54.5,0.0368060525509,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1090""",NaN,NaN,NaN,NaN,0.1,9.0,37.7251184834,NaN,22.5,0.331254472958,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1099""",NaN,NaN,NaN,NaN,0.1,4.5,39.8640996602,NaN,14.0,0.368060525509,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1911""",NaN,NaN,NaN,NaN,0.1,31.0,25.7113465693,NaN,62.0,0.00613434209181,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1910""",NaN,NaN,NaN,NaN,0.1,18.5,26.9949139703,NaN,43.0,0.0552090788263,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1919""",NaN,NaN,NaN,NaN,0.1,17.0,27.1647968631,NaN,41.0,0.0613434209181,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1901""",NaN,NaN,NaN,NaN,0.1,27.5,26.4442326025,NaN,56.5,0.0347612718536,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1900""",NaN,NaN,NaN,NaN,0.1,10.5,36.741556316,NaN,25.5,0.312851446682,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1909""",NaN,NaN,NaN,NaN,0.1,6.0,38.6459802539,NaN,16.0,0.347612718536,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1991""",NaN,NaN,NaN,NaN,0.1,21.5,26.6069715382,NaN,48.5,0.0408956139454,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
"""1990""",NaN,NaN,NaN,NaN,0.1,4.5,39.8640996602,NaN,14.0,0.368060525509,0,0.01,0.2,NaN,19.0,4.6758023122,0,0.01
